CHEETHAM, SIR NICOLAS J.A.	Q15619231
CHEKE, DUDLEY J.	
CHEKE, SIR MARCUS J.	
CHELSEA, HENRY, VISCOUNT	
CHERRETT, MICHAEL	
CHICK, HERBERT G.	
CHICK, JOHN S.	
CHILCOTT, SIR DOMINICK J.	Q1237678
CHILD, CLIFTON J.	
CHILSTON, Rt. Hon. ARETAS, 2nd VISCOUNT	Q4530170
CHILTON, SIR HENRY G.	Q1606777
CHISHOLM, RONALD G.	
CHITTY, M. BERYL	
CHOUDHURY, ANWAR B.	Q4778017
CHRIMES, NEIL R.	
CHRISTIE, WILLIAM D.	Q8007920
CHRISTOFAS, SIR KENNETH C.	Q18528332
CHRISTOPHER, SIR D. ROBIN C.	Q7352321
CHUGG, DANIEL P.	
CHURCH, JOHN C	
CHURCHILL, GEORGE P.	
CHURCHILL, HARRY L.	Q5670652
CHURCHILL, HENRY A.	
CHURCHILL, SIDNEY J.A.	
CHURCHILL, WILLIAM A.	
CLANCARTY, Rt. Hon. RICHARD, 2nd EARL OF	Q736545
CLANRICARDE, Rt. Hon. ULICK, 1st MARQUESS OF, K.P.	Q7878978
CLANWILLIAM, Rt. Hon. RICHARD, 3rd EARL OF	Q7327762
CLARENDON, Rt. Hon. GEORGE, 4th EARL OF	Q335305
CLARK, ALAN R.	
CLARK, GERALD E.	
CLARK, JAMES McADAM	Q56808647
CLARK, JAMES F.	Q6131361
CLARK, SIR TERENCE J.	Q16095480
CLARK, SIR W. ARTHUR W.	
CLARK, SIR WILLIAM H.	
CLARKE, EDWARD A. WALDRON	
CLARKE, FREDERICK S.	
CLARKE, GUY H.	Q56797957
CLARKE, SIR H. ASHLEY	Q15429546
CLARKE, LAURA M.	Q56797959
CLARKE, RICHARD I.	Q7324761
CLARKE-JERVOISE, SIR HARRY S.C., Bt.	
CLARKE-THORNHILL, THOMAS B.	
CLAY, SIR EDWARD	Q1291913
CLAY-KER-SEYMER, HARRY E.	
CLEARY, A. SHAUN	
CLEARY, DENIS M.	
CLEGHORN, BRUCE E.	
CLEMENS, CLIVE C.	
CLEMENTS, MICHAEL C.	
CLERK, Rt. Hon. SIR GEORGE R.	Q1508215
CLEUGH, ERIC A.	Q5386047
CLIBBORN, DONOVAN H.	
CLIFF, IAN C.	Q16151665
CLIFT, RICHARD D.	
CLINTON-THOMAS, ROBERT A.	
CLIPSHAM, PHILIP R.	
CLIVE, NIGEL D.	
CLIVE, Rt. Hon. SIR ROBERT H.	Q538703
CLOAKE, JOHN C.	Q15989913
CLOUDER, FIONA J.	
CLUNES, ANNA	
CLUTTERBUCK, SIR P. ALEXANDER	Q15989916
CLUTTON, SIR GEORGE L.	Q17064071
COATES, DAVID	Q25675757
COBBOLD, THOMAS C.	Q7788487
COBDEN, ALAN	
COCHRANE-DYET, FERGUS J.	Q5444166
COCKBURN, ALEXANDER	Q2641925
